Código de país,Nombre del país,Región,Clave_Hash
MYS,Malasia,Asia Oriental y Asia-Pacífico,987
NAM,Namibia,África subsahariana,893
NCL,Nueva Caledonia,Asia Oriental y Asia-Pacífico,895
NER,Níger,África subsahariana,925
NGA,Nigeria,África subsahariana,863
NIC,Nicaragua,América Latina y Caribe,877
NLD,Países Bajos,Europa y Asia Central,890
NOR,Noruega,Europa y Asia Central,955
NPL,Nepal,Sur de Asia,934
NZL,Nueva Zelanda,Asia Oriental y Asia-Pacífico,964
OMN,Omán,Oriente Medio y Norte de África,935
PAK,Pakistán,Sur de Asia,889
PAN,Panamá,América Latina y Caribe,901
PER,Perú,América Latina y Caribe,929
PHL,Filipinas,Asia Oriental y Asia-Pacífico,914
PLW,Palaos,Asia Oriental y Asia-Pacífico,970
PNG,Papúa Nueva Guinea,Asia Oriental y Asia-Pacífico,912
POL,Polonia,Europa y Asia Central,935
PRI,Puerto Rico,América Latina y Caribe,932
PRK,Corea (República Popular Democrática),Asia Oriental y Asia-Pacífico,940
PRT,Portugal,Europa y Asia Central,976
PRY,Paraguay,América Latina y Caribe,996
PYF,Polinesia Francesa,Asia Oriental y Asia-Pacífico,941
QAT,Catar,Oriente Medio y Norte de África,927
ROU,Rumania,Europa y Asia Central,975
RUS,Rusia,Europa y Asia Central,985
RWA,Ruanda,África subsahariana,919
SAU,Arabia Saudí,Oriente Medio y Norte de África,935
SDN,Sudán,África subsahariana,916
SEN,Senegal,África subsahariana,919
SGP,Singapur,Asia Oriental y Asia-Pacífico,933
SLB,Islas Salomón,Asia Oriental y Asia-Pacífico,892
SLE,Sierra Leona,África subsahariana,904
SLV,El Salvador,América Latina y Caribe,972
SMR,San Marino,Europa y Asia Central,959
SOM,Somalia,África subsahariana,945
SRB,Serbia,Europa y Asia Central,910
SSD,Sudán del Sur,África subsahariana,921
STP,Santo Tomé y Príncipe,África subsahariana,972
SUR,Surinam,América Latina y Caribe,983
SVK,Eslovaquia,Europa y Asia Central,958
SVN,Eslovenia,Europa y Asia Central,970
SWE,Suecia,Europa y Asia Central,937
SWZ,Suazilandia,África subsahariana,1021
SXM,San Martín (parte neerlandesa),América Latina y Caribe,972
SYC,Seychelles,África subsahariana,935
SYR,Siria,Oriente Medio y Norte de África,995
TCA,Islas Turcas y Caicos,América Latina y Caribe,863
TCD,Chad,África subsahariana,875
TGO,Togo,África subsahariana,931
THA,Tailandia,Asia Oriental y Asia-Pacífico,878
TJK,Tayikistán,Europa y Asia Central,924
TKM,Turkmenistán,Europa y Asia Central,935
TLS,Timor Oriental,Asia Oriental y Asia-Pacífico,962
TON,Tonga,Asia Oriental y Asia-Pacífico,951
TTO,Trinidad y Tobago,América Latina y Caribe,970
TUN,Túnez,Oriente Medio y Norte de África,969
